"item_id","item_name","item_description","item_type","item_price","remaining_stock"
1,"plan","Sound worry ahead couple age population.","Home Decor",649.94,69
2,"team","Woman management turn side our alone.","Clothing",376.34,18
3,"financial","Analysis article decide decide theory top space or.","Electronics",348.75,83
4,"her","Season later ok should cultural.","Clothing",78.43,44
5,"cup","Thousand new system watch.","Home Decor",387.62,42
6,"do","Relationship majority parent ball.","Home Decor",573.48,43
7,"light","Message gun really same.","Books",708.69,67
8,"enjoy","Build natural blue force forget.","Books",842.4,98
9,"hotel","Better best successful do box piece.","Electronics",570.37,72
10,"interview","Finish court measure.","Electronics",884.88,95
11,"remember","Him maybe win position.","Books",835.41,80
12,"member","Ten worker wear while this.","Books",718.67,13
13,"treatment","Side enough far station best argue.","Books",734.76,92
14,"old","Professional look including anyone story I.","Electronics",958.03,20
15,"spring","Less attention head lot gun water response.","Clothing",544.97,40
16,"employee","Each four draw exist care song.","Clothing",908.99,24
17,"president","Movement car soon seat.","Clothing",182.91,56
18,"against","Long professor six tonight I animal work.","Home Decor",789.86,33
19,"something","Southern put site end energy page.","Electronics",341.11,93
20,"ball","Hold opportunity hotel hour.","Clothing",296.33,8
21,"letter","Agency end she modern.","Home Decor",495.82,88
22,"left","Ok garden health possible animal machine material any.","Clothing",881.63,97
23,"situation","Traditional I area kind smile off.","Clothing",819.81,48
24,"difficult","Scientist government far pressure season.","Electronics",655.09,54
25,"good","Instead event choose certainly.","Books",708.24,26
26,"much","Floor dog send key box.","Electronics",710.5,49
27,"activity","Figure thank lay mention appear goal pick.","Electronics",858.16,39
28,"TV","Few language act huge.","Clothing",69.11,77
29,"despite","Myself term property forget leave.","Home Decor",462.39,95
30,"country","Usually night doctor present fall bit.","Clothing",113.74,37
31,"exactly","Like husband help.","Books",525.47,19
32,"nice","Change cause last sea pay style process.","Clothing",882.01,67
33,"inside","Including assume attorney another.","Home Decor",815.38,74
34,"than","Any rise on catch six agency.","Home Decor",214.46,100
35,"color","Especially sometimes sit speak feel.","Clothing",435.44,82
36,"health","Future experience thought individual huge enjoy everyone.","Electronics",933.24,0
37,"read","Information my adult blood PM.","Books",600.26,53
38,"professor","High staff relationship somebody attention animal parent.","Electronics",775.86,2
39,"part","Human friend watch education similar big.","Electronics",510.45,79
40,"ball","Style sort these age about along purpose.","Home Decor",611.16,78
41,"allow","Chair ready question including not our television.","Books",772.41,42
42,"fast","Color later surface lawyer.","Home Decor",986.58,24
43,"read","With him sure indeed actually receive.","Books",647.27,38
44,"animal","Human high foreign ok itself since.","Books",778.4,76
45,"first","Factor claim its fish decade someone low whole.","Books",574.06,7
46,"quickly","War ready reduce film.","Clothing",507.3,31
47,"knowledge","Push ground history throughout fill gun must.","Clothing",501.75,21
48,"interview","Reality whole young radio blood word a chair.","Electronics",740.33,14
49,"affect","Language character would help perform above.","Books",980.78,23
50,"physical","With responsibility where yeah it.","Clothing",39.79,32
51,"lay","House different section.","Clothing",301.39,44
52,"democratic","Operation seat entire red family suffer public.","Books",424.82,53
53,"visit","Music eye sell able her by.","Books",794.36,61
54,"story","Suffer though production another choice.","Books",908.5,38
55,"outside","Politics thousand open son yet.","Books",421.82,79
56,"community","Law society central answer per.","Electronics",86.78,72
57,"step","Who event control which word.","Books",757.07,53
58,"half","Exist Mrs stop safe.","Home Decor",929.23,77
59,"test","Office rest star major.","Books",267.35,77
60,"at","Song environmental above recognize member a page hospital.","Home Decor",657.52,76
61,"yourself","Accept goal inside Mr.","Clothing",351.54,66
62,"change","System poor yourself throw former person each.","Books",60.31,7
63,"create","Woman news hot send carry save.","Clothing",980.87,36
64,"behind","Until all thought there physical can add teacher.","Books",988.43,99
65,"likely","Tax number hour mission however once read.","Electronics",9.32,29
66,"of","Seem majority poor send produce writer.","Electronics",555.69,13
67,"close","That again head enjoy.","Books",209.91,59
68,"dog","Forget safe cup station concern list control.","Books",604.88,19
69,"film","Tax lose until feel score themselves wish.","Clothing",483.29,70
70,"company","Rule newspaper financial baby.","Clothing",953.44,15
71,"nation","Pressure result hotel ten management lay part.","Clothing",226.4,22
72,"meeting","Congress station black lose.","Books",777.5,58
73,"human","Speech television thought technology money natural four measure.","Books",23.56,41
74,"lose","Likely stop describe executive behavior necessary.","Home Decor",307.12,66
75,"increase","Local middle heart major several.","Electronics",116.68,31
76,"yard","Trouble factor gas provide former.","Books",163.1,91
77,"reflect","College rest nice window right onto manage.","Clothing",288.18,98
78,"theory","Reach catch maintain fear.","Home Decor",880.06,39
79,"card","Seem many notice like today.","Books",277.42,82
80,"out","Top information light hour.","Clothing",500.26,1
81,"toward","Difference minute green.","Electronics",846.16,62
82,"film","Yet until management prove technology religious resource.","Clothing",398,16
83,"evidence","If culture sing edge table.","Electronics",792.83,54
84,"couple","Wife south leader because land.","Clothing",925,93
85,"appear","Focus remember father industry.","Books",825.17,63
86,"part","So interesting thank short budget education.","Books",131.03,0
87,"world","Play opportunity standard event.","Home Decor",839.16,49
88,"in","Rise rock itself heart move will then.","Books",552.48,77
89,"actually","Tend with minute.","Electronics",794.04,84
90,"establish","Building free then.","Electronics",306.47,40
91,"provide","Sit indeed again eat occur.","Books",115,1
92,"action","Job move management skill pick project commercial.","Books",193.39,72
93,"executive","Middle most attention cover paper.","Electronics",441.45,69
94,"bill","Agreement value similar senior personal respond yeah important.","Books",15.46,10
95,"painting","Account fish song manage difference increase game.","Books",110.08,58
96,"half","Education research state program easy factor animal.","Electronics",829.98,87
97,"Mr","Area anyone now music message good kitchen task.","Clothing",967.82,73
98,"school","Sea bag development social significant happen.","Home Decor",670.27,83
99,"begin","Hundred where capital above.","Books",824.02,89
100,"itself","Half the design eat southern forward.","Clothing",418.5,51
101,"agree","Little choice often year.","Books",608.96,25
102,"daughter","Herself develop general.","Home Decor",14.56,42
103,"once","Only third art now.","Books",804.64,49
104,"identify","Themselves example Democrat memory.","Clothing",684.81,68
105,"culture","Sure someone central outside parent hit.","Home Decor",865.05,71
106,"anything","Investment newspaper scene off thought reach note.","Home Decor",5.11,65
107,"unit","Generation hot goal interest.","Electronics",109.31,84
108,"rock","Us stage seat.","Electronics",322.66,59
109,"order","Man night amount head many everything Republican.","Electronics",874.47,48
110,"standard","Tough material once television hair half better.","Home Decor",584.96,89
111,"until","True prove strong five next of.","Books",163.21,35
112,"approach","At side marriage green fish cover those.","Books",324.59,0
113,"concern","Manage statement team loss five operation pretty off.","Clothing",281.59,61
114,"each","Wonder health especially activity mother.","Clothing",137.12,13
115,"report","Could live paper edge environmental sign two.","Electronics",24.87,60
116,"manage","Still into send finish it contain.","Electronics",562.75,75
117,"campaign","Happen present student I turn president enough.","Books",513.25,86
118,"form","Capital stand wait information ten leave boy wall.","Home Decor",417.56,70
119,"help","Thought quite yourself care.","Clothing",911.22,83
120,"compare","Reduce public wall medical.","Books",481.9,43
121,"final","Approach food leader.","Clothing",475.79,52
122,"forget","Local most performance student.","Clothing",863.54,25
123,"method","Seek customer music star heart they prepare.","Clothing",879.73,10
124,"may","Fall up these director general today himself.","Electronics",670.13,59
125,"culture","Adult someone tend wife moment there.","Electronics",320.77,21
126,"source","Movement activity meet.","Books",905.91,67
127,"trial","Now be leg above network many country person.","Home Decor",574.81,19
128,"performance","Majority top garden side once.","Clothing",86.32,95
129,"production","Age election radio almost kid face.","Home Decor",83.68,45
130,"instead","Yes two study likely how.","Clothing",367.76,32
131,"because","Market among suddenly say Democrat if nearly.","Books",96.19,37
132,"near","Purpose media including apply popular.","Home Decor",511.84,96
133,"identify","Vote son who.","Books",165.95,25
134,"knowledge","Successful government design different.","Home Decor",560.83,34
135,"reason","Stand something listen.","Books",39.85,44
136,"man","Material activity quite everyone teach.","Electronics",170.14,90
137,"coach","Man box structure raise protect.","Electronics",354.82,94
138,"agent","Moment between few good.","Home Decor",285.33,82
139,"offer","Prevent central step.","Books",572.45,41
140,"clear","Official machine significant talk when bag gas.","Books",286.96,1
141,"cup","Blood small consider alone someone include itself dream.","Home Decor",945.79,84
142,"born","Knowledge management wide news black serve beyond.","Home Decor",583.7,41
143,"detail","Market fire nearly create blood agreement.","Clothing",103.65,56
144,"north","Production mention situation class.","Clothing",757.18,31
145,"rather","Clear project young growth save author score above.","Home Decor",970.17,71
146,"I","Defense fact off why decide focus color.","Clothing",503.59,50
147,"dream","Tell poor loss above.","Home Decor",437.94,97
148,"fund","Home yard measure other.","Clothing",223.73,1
149,"rise","Day outside care law.","Home Decor",512.4,8
150,"recognize","Wait at affect subject animal successful much.","Electronics",587.82,28
151,"service","Ever yard feel have unit soon.","Electronics",181.55,58
152,"member","Throw quality model owner help north relate.","Books",579.72,27
153,"among","Three idea game fire.","Home Decor",673.86,11
154,"six","Assume group check watch stuff garden least.","Electronics",79.34,75
155,"world","Six program yet trip.","Electronics",247.96,93
156,"participant","Return political letter agree than example almost heart.","Books",77.94,33
157,"look","Become operation though.","Electronics",249.13,43
158,"serve","According allow church street your on.","Clothing",434.07,51
159,"best","Mention animal until audience generation me put.","Books",656.27,39
160,"tend","Find hope year similar few describe.","Clothing",905.31,52
161,"radio","Hundred knowledge against.","Books",349.92,78
162,"test","Drop house page others party event.","Electronics",963.59,16
163,"break","Understand more raise off live together more.","Books",357.73,46
164,"study","Order prevent never writer north create.","Books",920.76,11
165,"meeting","From simple be born result see.","Clothing",344.85,24
166,"environment","Beyond half her.","Books",696.6,7
167,"seem","Through if know space site general capital thought.","Books",708.18,79
168,"table","Draw across today future.","Electronics",874.69,64
169,"southern","Particularly too design source.","Clothing",870.86,4
170,"us","Way that effort issue bed point image what.","Electronics",863.98,29
171,"collection","Represent each sport red.","Home Decor",119.49,55
172,"very","Sometimes deal light establish job.","Books",168.24,60
173,"west","Ahead star decide always mean project computer.","Electronics",466.78,7
174,"moment","Particular behind visit standard.","Clothing",731.59,40
175,"cell","Build treat go list.","Books",204.52,90
176,"his","Prove line benefit service drop.","Home Decor",770.48,92
177,"ready","Cultural position eight society certainly task political.","Books",562.95,69
178,"half","Market red color clear hundred learn.","Clothing",525.64,65
179,"painting","Mind man book win newspaper account discover must.","Electronics",246.01,98
180,"Congress","Speak hard base walk provide.","Books",899.76,6
181,"possible","Democrat always challenge partner.","Books",640.37,3
182,"its","Help quality court present drop spend.","Home Decor",715.65,28
183,"can","Force wind this year.","Clothing",649.1,75
184,"method","Somebody writer western picture course item.","Electronics",806.66,71
185,"seem","Hold buy million series vote show boy.","Clothing",345.02,88
186,"clearly","Woman little message although tonight.","Home Decor",167.14,26
187,"training","Main look floor concern.","Books",940.41,26
188,"value","By through young moment might by.","Electronics",164.45,81
189,"history","First budget eat mean despite strong.","Electronics",870.18,92
190,"great","In believe fall professional.","Clothing",153.32,62
191,"reach","Red him know mean century.","Books",176.37,75
192,"herself","However edge smile address.","Home Decor",687.23,64
193,"system","Fear quickly home condition either.","Books",881.3,10
194,"somebody","Since crime everything quite today fear movement music.","Clothing",436.79,34
195,"year","Building staff production between debate stage detail.","Home Decor",656.92,41
196,"thousand","Enjoy lawyer home pick.","Electronics",491.02,69
197,"fund","Both century movement teacher learn leave.","Books",986.99,2
198,"discussion","Night PM building already sound include.","Home Decor",222.95,48
199,"its","City computer wife.","Clothing",677.37,96
200,"news","Material next suffer mind.","Books",398.24,21
201,"outside","Too tax keep coach.","Electronics",857.88,55
202,"occur","History agency college field industry admit eat.","Books",234.27,86
203,"perform","Begin federal quality study study figure small.","Books",488.27,78
204,"part","Think term occur exist allow.","Electronics",988.41,8
205,"order","Learn finally share toward behind risk operation.","Books",382.98,60
206,"indeed","Itself team daughter young.","Books",89.28,81
207,"public","Property decision board next offer.","Clothing",714.78,70
208,"pay","Form themselves attack effort since daughter.","Electronics",603.31,65
209,"purpose","Scientist animal before across employee.","Books",951,77
210,"property","Central edge beyond employee bring.","Clothing",498.41,45
211,"number","Determine grow political movie.","Books",900.69,27
212,"appear","Call indicate material painting pull receive vote.","Books",43.85,86
213,"professor","Can perform one indicate pressure brother finally.","Clothing",981.32,25
214,"contain","Recently someone seven land.","Books",317.59,69
215,"military","Unit art personal training knowledge.","Clothing",163.16,14
216,"trip","Individual natural old prepare need simple.","Books",403.22,49
217,"tonight","Court better member and strong evidence.","Clothing",38.35,27
218,"suggest","Thank little discuss at defense own.","Electronics",557.05,80
219,"do","Message federal mouth network effect draw case.","Home Decor",484.94,17
220,"model","Reveal pressure kind final old trial.","Electronics",878.54,16
221,"center","Catch despite your each environment door.","Home Decor",807.47,37
222,"have","Development three film maintain.","Books",102.69,42
223,"it","In kid surface door organization happen water.","Home Decor",84.12,35
224,"half","Note continue theory upon claim say.","Electronics",281.52,4
225,"with","Country peace suddenly idea threat indicate article nothing.","Clothing",256.9,100
226,"value","Car senior finish natural.","Clothing",952.6,2
227,"somebody","Actually everything safe figure top.","Electronics",239.38,71
228,"image","Finish south before edge perform region full.","Books",402.55,65
229,"throughout","Congress range consider sort development.","Books",848.96,0
230,"think","Pm TV race yes Republican maintain will.","Books",764.46,98
231,"section","Main light thought western real.","Electronics",114.74,99
232,"clear","Tonight over her.","Books",667.02,25
233,"him","Simple happy thought what front.","Books",664.98,40
234,"feel","Wrong natural yes scene say use.","Books",417.91,9
235,"win","Recently its yourself every various not protect.","Electronics",93.66,22
236,"energy","When what rule.","Electronics",290.27,10
237,"around","Director president ball.","Home Decor",822.16,50
238,"seem","Wait game spend.","Electronics",974.61,11
239,"far","Seem now local speech act ready beat.","Books",458.18,2
240,"pattern","Her world after race gun population name.","Books",13.83,16
241,"bill","Soldier make interesting.","Home Decor",474.77,2
242,"center","Second interview fast.","Clothing",996.34,19
243,"somebody","Section price because economic.","Home Decor",341.51,51
244,"close","Recently from me air test.","Home Decor",936.35,49
245,"deep","Beyond policy full we figure upon answer.","Electronics",116.01,57
246,"beat","Create these while could brother step north.","Clothing",324.5,61
247,"sport","Business quickly agency start.","Home Decor",151.25,100
248,"design","Sing side practice.","Electronics",142.97,72
249,"girl","Man public mouth quite foreign number region.","Books",228.88,88
250,"single","Begin according toward born one.","Home Decor",65.27,11
251,"future","Any note season modern factor.","Clothing",912.7,67
252,"there","Himself right same mouth discussion morning law.","Books",721.77,98
253,"technology","Sport among identify arrive expert.","Electronics",191.5,27
254,"owner","Sport west then of case land yes professor.","Books",906.5,34
255,"full","Middle compare model together oil technology artist.","Clothing",30.01,65
256,"listen","Policy learn score knowledge beat.","Home Decor",187.66,64
257,"represent","Visit visit pull.","Electronics",887.25,52
258,"without","Truth time itself arm senior.","Clothing",799.27,21
259,"around","Any same report entire career story.","Home Decor",50.34,53
260,"ability","Operation its lawyer one condition court attorney.","Clothing",48.02,0
261,"raise","Suggest significant new let two article first.","Clothing",450.18,65
262,"head","Marriage worry study.","Home Decor",565.5,91
263,"assume","Religious central end various view institution standard.","Books",166.04,17
264,"chance","Hour article range or edge.","Clothing",851.86,14
265,"billion","Bank anyone every similar himself.","Books",935.13,74
266,"leader","Campaign might recognize teach.","Electronics",834.02,27
267,"budget","Discover why wind society lose move.","Home Decor",701.9,54
268,"science","Discussion laugh work off.","Electronics",183.49,92
269,"across","Child about pass price member institution.","Home Decor",153.67,0
270,"go","Happy picture maybe phone new too student both.","Home Decor",709.72,85
271,"section","Reason miss especially can tonight floor attention.","Home Decor",715.53,33
272,"address","Cause time really tonight enjoy.","Books",600.19,15
273,"industry","Bar writer develop visit either job control machine.","Books",568.46,50
274,"instead","Budget only including nation.","Books",777.06,83
275,"young","Money knowledge thought civil news.","Books",342.78,28
276,"everybody","Sell different claim majority executive.","Books",511.8,62
277,"table","Full serve list window that at soldier.","Books",865.33,33
278,"student","Management return kind Congress.","Home Decor",338.8,91
279,"total","Prepare debate senior.","Clothing",873.15,46
280,"room","Kitchen order enter always whose able.","Electronics",779.6,25
281,"trip","Doctor though might part than.","Home Decor",274.92,99
282,"the","Part build share the management explain turn.","Electronics",330.21,75
283,"on","Few mother per probably we.","Books",24.6,50
284,"miss","Under who staff central.","Clothing",986.39,98
285,"although","Challenge team system.","Electronics",360.69,1
286,"probably","Building data your alone type leave region.","Books",753.21,100
287,"current","Thought physical professor into choose beyond great mean.","Clothing",925.38,52
288,"interview","Financial remember resource land bit daughter approach.","Home Decor",456.61,75
289,"yeah","Shake attention at lawyer agreement.","Home Decor",967.05,90
290,"moment","Catch bring very including bank.","Home Decor",997.55,94
291,"political","Beat discuss machine four detail.","Books",24.9,0
292,"painting","Create with go person.","Clothing",582.6,43
293,"worry","Almost customer tree thank.","Clothing",146.71,61
294,"reflect","Four speak ten and responsibility life born country.","Books",339.62,90
295,"somebody","Without fill two.","Electronics",390.62,95
296,"ball","Risk concern ten society.","Clothing",924.21,13
297,"receive","Girl lawyer take arrive.","Electronics",895.87,59
298,"add","Chance career to trouble behind.","Electronics",865.51,69
299,"each","Agency view baby key positive.","Books",348.09,69
300,"hour","Civil hold until short join newspaper else.","Books",577.76,14
301,"dinner","Speak air consumer us how red.","Home Decor",672.27,65
302,"career","Thousand alone just market.","Clothing",810.02,59
303,"care","Fire soon that surface strong concern increase.","Clothing",717.21,42
304,"draw","Card rise whole skin day.","Home Decor",398.11,94
305,"sometimes","Stay challenge tend care that control life opportunity.","Home Decor",284.39,25
306,"wonder","Enough a hear outside agreement most.","Home Decor",479.78,16
307,"physical","Hotel something report ask pattern attorney.","Clothing",737.85,22
308,"despite","Contain far sister dog no firm.","Clothing",93.82,94
309,"contain","Prevent operation group figure join child.","Home Decor",695.7,80
310,"figure","Agent still month parent.","Books",996.71,3
311,"charge","Who forget so election left subject.","Home Decor",756.56,57
312,"red","Pressure view save attack rest less.","Electronics",192.6,28
313,"available","Interesting close western mention pretty building debate hold.","Clothing",36.13,75
314,"show","Enough east since four always on range.","Books",195.67,88
315,"blue","Great still close father.","Home Decor",710.28,25
316,"age","Along let save never reduce thus very.","Books",737.95,36
317,"pattern","Manage people sense produce fire.","Books",42.9,29
318,"college","Support different sense particularly look.","Home Decor",607.96,0
319,"religious","Through today six will what up education.","Clothing",891.34,22
320,"need","Show trade analysis address continue society full.","Home Decor",57.69,39
321,"remain","Rate Mr Congress understand.","Electronics",48.12,23
322,"sense","Color everyone difficult significant put carry.","Clothing",983.43,31
323,"unit","Detail out heart and.","Electronics",989.06,16
324,"rise","Edge respond this it remember speak down head.","Books",595.42,67
325,"exist","Million morning send.","Clothing",235.23,83
326,"film","True candidate possible avoid difficult describe among.","Home Decor",979.66,71
327,"issue","Officer set lay institution professional best as.","Electronics",10.31,17
328,"power","Mean budget key rock black food.","Electronics",143.17,62
329,"today","Including resource every.","Clothing",560.64,0
330,"however","Manage consumer price him appear present.","Electronics",603.71,62
331,"sell","House movement garden act husband truth marriage.","Electronics",224.73,75
332,"thus","Message number class make interesting rather information.","Electronics",712.93,29
333,"art","Fill still parent radio born.","Books",784.9,78
